Time,ExternalID,Role,Location,LinkTitle,LinkType,URL
9/13/20 6:56 PM,5306,User,Broom Court,Redicut,Internet,http://www.readicut.co.uk/
9/13/20 6:55 PM,5306,User,Broom Court,My Interests,Category,NULL
9/13/20 6:55 PM,5306,User,Broom Court,Google,Internet,https://www.google.co.uk/
9/13/20 6:54 PM,9137,User,Glasgow West C@H,Celtic FC,Internet,http://www.celticfc.net/mainindex
9/13/20 6:53 PM,9137,User,Glasgow West C@H,My Interests,Category,NULL
9/13/20 6:43 PM,9533,User,Belses Gardens,YouTube,Internet,http://www.youtube.com/
9/13/20 6:32 PM,9533,User,Belses Gardens,Strictly Come Dancing,Internet,http://www.youtube.com/user/bbcstrictly
9/13/20 6:31 PM,9533,User,Belses Gardens,Videos,Category,NULL
9/13/20 6:31 PM,9533,User,Belses Gardens,Entertainment,Category,NULL
9/13/20 6:28 PM,9533,User,Belses Gardens,YouTube,Internet,http://www.youtube.com
9/13/20 6:27 PM,9533,User,Belses Gardens,BBC News,Internet,http://www.bbc.co.uk/news
9/13/20 6:24 PM,9533,User,Belses Gardens,BBC Football,Internet,https://www.bbc.co.uk/sport/0/football/
9/13/20 6:22 PM,9533,User,Belses Gardens,Snooker,Internet,https://www.bbc.co.uk/sport/snooker
9/13/20 6:20 PM,9533,User,Belses Gardens,Scottish Football,Internet,https://www.bbc.co.uk/sport/football/scottish
9/13/20 6:16 PM,9533,User,Belses Gardens,Sky Football,Internet,https://www.skysports.com/football
9/13/20 6:14 PM,9533,User,Belses Gardens,BBC News,Internet,http://www.bbc.co.uk/news
9/13/20 6:12 PM,5341,User,Charleston C@H,YouTube,Internet,http://www.youtube.com/
9/13/20 6:09 PM,5341,User,Charleston C@H,YouTube,Internet,http://www.youtube.com/
9/13/20 6:03 PM,5354,User,Forth Valley C@H,Morrisons,Internet,https://groceries.morrisons.com/webshop/startWebshop.do?dnr=y
9/13/20 6:02 PM,5542,User,St Leonards Court,YouTube,Internet,http://www.youtube.com/
9/13/20 6:01 PM,5542,User,St Leonards Court,YouTube,Internet,http://www.youtube.com/
9/13/20 6:00 PM,5542,User,St Leonards Court,YouTube,Internet,http://www.youtube.com/
9/13/20 6:00 PM,5354,User,Forth Valley C@H,Supermarkets,Category,NULL
9/13/20 6:00 PM,5354,User,Forth Valley C@H,Shopping,Category,NULL
9/13/20 5:59 PM,5542,User,St Leonards Court,YouTube,Internet,http://www.youtube.com/
9/13/20 5:59 PM,5542,User,St Leonards Court,Videos,Category,NULL
9/13/20 5:59 PM,5542,User,St Leonards Court,Online Radio Box,Internet,https://onlineradiobox.com/uk/
9/13/20 5:59 PM,5542,User,St Leonards Court,Radio Stations,Category,NULL
9/13/20 5:59 PM,5542,User,St Leonards Court,Entertainment,Category,NULL
9/13/20 5:59 PM,5542,User,St Leonards Court,Photo Albums,Category,NULL
